,tweet,sentiment
42,lonely planet made austin guide free grab never know need,1
43,groupme says itûªs going global first adds social features android sms stevemartocci,1
44,time warner cable roll app live tv march 15 entry friends house,1
45,postmobile social party via could win photography gear amp 2,1
46,awesome version web site coming want demo meet pls,2
47,download lets one sf sweet love vid via lenashaw,1
48,nice move set open popup shop core action,2
49,motley fool prepares fight facebook circles may appeared way,1
50,lost way caring much business vs users psych,0
51,update recco panelsparties def good times follow friends whove b4 youre newbie,1
52,ûïmention launch major social network called circles possibly today sxswû dejavu,1
53,quotive seen one 2 farquot 30 audience members raise 2s,1
54,ltjust rumorgt launch major social network called circles possibly today,1
55,tessie frontwoman intimate stranger ink painful places get ink respect location,1
56,quotfuturequot contextual discovery nice way articulating intersection social mobile search,1
57,reportedly unveil social network called circles likely launch may googlecircles googleme,1
58,tradeshow floor engage w multitouch interactive wall take part augmented reality 3d enter win,1
59,fashion essential 13 photo,1
60,awesome charging lockers registrants lounge,2
61,brillianti hope plenty ipadsrt open popup shop report,2
62,launchrock vencorps want give 30k ûïbestû startups,1
63,composed tweet acerbic cynical users phone crashed dumped apps twitterpower imthatgood,0
64,taught anything want 2 dont know,2
65,anyone news 2 musthave course,2
66,tminus 6 hours social media mavens start performing degrading sex acts charge,1
67,haha,1
68,talk mistakes made building netflix netflixiphone,0
69,id say 75 booths tradeshow waffling 2 portion reps dressed crazy characters,1
70,ipad2 photos thanks gappacker flavugm marcusross jordanbell,1
71,launch major social network called circles possibly today,1
72,bjdproductions opening popup austin geekfest tech,1
73,thoughts path photo app iphoneography mobilephotography,1
74,2 heck wbeing sick supposedly setting ministore go amp im feeling 95 plan 2 go,1
75,line might well popup austin ipad2,1
76,4sq sees facebook competition via checkins,1
77,labs fusion tables made election day foursquare visualization possible pr,2
78,tech lightbox_photos wants android camera app although android adoption technology,2
79,googles marissa mayer locationbased fast fun future sxswi,2
80,spent 1000 come youve already used 1 wait couple city blocks ipad2,0
81,nothing quite like make want desperately almost drooling guys next,2
82,ûïmention lt help forward doc anonymous accounts techiesamp ppl help us jam libya,1
83,social important screw big launch circus via,1
84,thought people spent lot time staring last year wait,1
85,googles social network quotcirclesquot announced today,1
86,open popup shop report,1
87,ipad2s left anyone know,1
88,ubersocial app includes uberguide sponsored mashable,1
89,set launch social network circles today,1
90,cunning keeping ipad2 popup open late next parties impulsive late night purchases regrets,2
91,n22 opportunity knocks codes valid 120035959p 031311 infektd necro,1
92,lazers display tonite gsdm industry party,1
93,correction cab driver well prepared hes got laptop blackberry dashboard got regular cell 2,1
94,fmsignal marissa mayer announces check ins interview john battelle,1
95,enchantment quotits like saying please dont register go googlequot hahah,1
96,tweet register exclusive passes events parties 2 liberty andor free sxswpass,1
97,tim soos invisible instruments jaw dropping iphonewii controller lovemusicapi,2
98,appears opening pop austin employees trying hide beechwood tables gave away,1
99,horror stories women tech 9to5,1
100,full touchingstories presentation,1
101,im listening congo os ipanemas via discovr app live,1
102,eventful dayearthquake tsunami 2 plus,1
103,design headaches take two tablets call panel excited hear live,1
104,tired waiting line stores best buy austin announces ipad2 sale today sxswinfo,1
105,smart entrepreneur would set online consignment shop help sell outdated ipad1 units,1
106,walked industry party gsdm amp austin tx,1
107,check developer meet,2
108,launching social network definitely rumor still itlink googlecircles,1
109,anyone know still ipads,1
110,good point love quotapple comes cool technology dont go conferencesquot,2
111,opening downtown austin pop even begins wins,2
112,chances buy 2 unless already got one way,1
113,start doodles burning man pacman beyond lets ser get ideas sapo,1
114,quoteveryone already onequot antitheft protection leave laptop go get latte,1
115,quotlotta hipsters could meet guy fedora 2quot assistant stage,1
116,tech even begins wins,2
117,hear appleûªs opening temporary via,2
118,folks taking notes sure download dan bricklins app notetaker really sweet thanks,2
119,u quotgoogle launch major social network called circles possibly todayquot,1
120,setting popup austin sell bajillions ipad2s attendees brilliant,2
121,announces popup see take future popup stores client,1
122,vestibule tempapple 20 min wait ipad2 atampt 64g theyve replenished supply,2
123,googlebing search smackdown panel giant room enough chairs hope search quotfloorsittingquot,3
124,lots chatter around googles social network circles kek,1
125,watching talk guy hired jony ive industrialdesign,1
126,sound voice shot exploiting amp best buys 14day return policy imacs brilliant,1
127,cameron sinclair spearheads japan disaster relief via twitter amp,1
128,tweeting pretty non existent today thanks app fail hootsuite epic replacement owllove,0
129,arrived party awesome,2
130,lounge recharge see art show daily åç austin details,1
131,opening popup austin sixth amp congress ipad2,1
132,virtualwallet paypal get physical goods cut gets 30 software virtual goods,1
133,original products 1 device nuts eg,3
134,2011 novelty news apps fades fast among digital delegates,1
135,juts time gt grouptexting war heats fast society launches android app updates app,2
136,got party speakeasy free drinks food coming,1
137,fyi breaking launch major social network called circlestoday via socialmedia,1
138,crazy big crowds,1
139,woah dude gets branded tattoo exchange really think,1
140,popup,1
141,internet blurs fades ûò,1
142,sitting floor behind guy whos fondling 2 disturbing way,0
143,giving away 2 panel wish luck,2
144,worlds largest,2
145,version flipboard hopefully summer sxflip,2
146,setting gsdm party going amazing check events sxsurrogatescom come,2
147,calvin geek charlie sheen goddesses schmittastic,1
148,lonely planets free guide austin,1
149,launch major social network called circles possibly today via,1
150,hp popping setting temp sites austin atx austinbusiness,1
151,launching products,1
152,seated turkey bowl armadillo amp kill list sxxpress passes acquired could buy,2
153,made press room got swag registered 2 hopefully get meet mike tyson,1
154,still use tweetie mac amp im running leopard ill pariah wish least android something make cool,2
155,might launch circles today mobile491,1
156,next life im coming back 2 women cant keep hands thing,2
157,win 2 via,2
158,way android party hewlitt packard badass thing goiing free food booze music love,1
159,hootsuite mobile updates blackberry amp android shared paulû_ shared,1
160,tweeting riding thru 210,2
161,setup demo restaurant page sign download app check amp say hi sxswi,2
162,yes updated app song info 247 stream others also live video streaming,2
163,2 hands exquisite,2
164,best schwag ive seen battery charger get one,2
165,open pop time ipad2 sales,1
166,decided need usguys agree,2
167,yup woke finished recharging means got enough sleep last night right,1
168,platform concertgoers launches android app time,1
169,server challenge huge hit come booth 400 try hand win 4 bottle opener case beating 2 mins,1
170,anyone find makeshift yet,2
171,still 2s short lines,2
172,according googles marissa mayer future location augmented reality contextual discovery making smartphones smarter fb,1
173,money money money heads sets temporary austin via,1
174,quotoh goes searchquot watch seems coming launch,1
175,dawns app week early help prep,2
176,seattle peeps today replacement hand im back action,2
177,mute tags people conversationsû_ quotso mobile notatsxsw quot,1
178,discovered conversation icebreaker quothey 2 yes isquot social,2
179,rumor opening temporary downtown austin 2 launch,1
180,great blog latest news like opening sxsw2011,2
181,bt quothaving really great social search probably good idea googlequot,2
182,heres personal guide austin,1
183,open temporary friday scarbrough building 6th congress,1
184,rumor monger good read å_ circles preview via socbiz fb,2
185,realllllllly need upgrade phone haha 10 apps youûªll probably need use,2
186,likes pay long gadget liked many closed system work pnid,1
187,spotted man need 2 ûò sxswi,2
188,piday booth,1
189,thanks free drinks speakeasy w 47 others,2
190,cool open temporary,2
191,prefer news droid apps amp mobile apps,2
192,listening australian knob celebrity journalist shoot reshoot reshoot vid meeting celebs,1
193,3 apps well using south southwest interactive sxswi,1
194,apparently quotad preferencesquot youll see thinks youll like seenocreepy,1
195,launching check service providing deals fmsignal sxswi,1
196,coyneûªs hereûªs keep theyre road,1
197,opens tech talk whore pcs right crowd dig carrie,1
198,game play swsx spot non electronics,1
199,hoot blog posthootsuite mobile sxswupdates iphoneblackberryandroid,1
200,100 line popup everyone waiting ipads first guy arrived 630am 36 degrees badges everywhere,1
201,evolved novelty game essential utility via indysaha,1
202,goggles location could tell example history building looking augmentedreality,2
203,alive loving great talks jonathan dahl minimalistprogramming googles marissa mayer marissagoogle,2
204,great recap seemingly great session wonder v bing panel,2
205,facebook killers circles announced interactive festival,1
206,2 thanks fxsw,2
207,grab latest saytextson,1
208,heads sets temporary austin,1
209,good q ûïmention purchased 2 see ppl buying white one nice frame presentations readingû,1
210,even begins wins,2
211,ogilvy au podcast channel open bizness itunes subscribe daily updates,1
212,getting flash,2
213,anyone wanna bring back windows foam 7 microsoft,1
214,oh oh oh come badge,2
215,4 valuable apps top critical tasks managed uberla lt day,1
216,haha serving pies booth 314 159 pm,1
217,sets 5000squarefoot temporary sell ipads test potentialû_ socialmedia,1
218,opening temporary downtown austin amp 2 launch source statesmancom,1
219,line ipad2 pop outlandish entire week,2
220,awwww yeah congrats winning last case boyfriend aw cbatsxsw,2
221,stacks ipad2s waiting bought got mine hassle handled perfectly,2
222,yay ûïmention flipboards next platform ceo says sxswû,2
223,quotno reason apples continued survival existence godquot enchantment sxswi,0
224,marissa mayer connect digital amp physical worlds mobile,1
225,circles looms googles nerds get social via,1
226,photo far best accessory followed closely margarita,2
227,started planning last night official appits solid resource still comes short scheduling,2
228,launch major social network called circles possibly today,1
229,check coyne pr updates via,1
230,win ipad2 signing wantlet,1
231,downtown austin open til midnight,1
232,quotapple likes pay thats likesquot barry diller acc ballroom pic,1
233,cnn launch quottv everywherequot service mobile tv computers via,1
234,apps keep grooving 2011 via,2
235,double fisting keynote,1
236,indieauthors sanders quotone author talked technology stories isnt facebookiphone showing storiesquot,1
237,moose tracker discusses importance location mobile,1
238,wish could go head 1pm cst today win vip access acoustic solo set tonight,1
239,¼ _ ã_ edchat musedchat sxswi classical newtwitter,1
240,taking flight away big apples nyc nest barely hatched startups take flight startups,1
241,false alarm could blushing launch major social network called circles,1
242,crashed front popup bestworstthingever,3
243,great panel wguys fr amp hotpot social recs def end recs discotalk sloanxsw,2
244,haha news yahoocom loosing search traffic site googlecom doubt last tho w weird name,1
245,puts popup hawk 2 think theyll sell one two,2
246,quotpartyingquot gsdampm googlesitting tree gsdm,1
247,quotif theres one thing good flash mobs hivethinkquot wins ipad2,2
248,40 map usage mobile seeing demo version mobile maps nice,2
249,lol u r gadgetzilla fun festival time omg im scared got netbook amp droid,2
250,quote day interface design quotif relatable discoverablequot digital,1
251,mingly tv day giveaway register win winning,1
252,opening temp friday 6th amp congress,1
253,best thing ive heard weekend quoti gave 2 money japan relief dont need,2
254,ran temporary amy,1
255,could biggtgtgoogle launch major social network called circles possibly today tech,1
256,going find amp could win tech prizes amp cases,1
257,tried initiate carpooling ridonkulous taxi line geeks silent bet everyone would app,1
258,heres free sampler celebrate year including barton hollow nice,1
259,food4thoughtjuxtaposed rocking lybian rebels thwarted gorgeous day la amp japan reeling,2
260,win free 2 webdoccom,1
261,ironic tee usurped 2 hipstergeekstartup chic fashion item years,2
262,novelty news apps fades fast among delegates,0
263,android party lustre pearl bar w 63 others,1
264,design like design 101 class someone give talk assume didnt ditch previous experience,1
265,quotgoogle products need condensedquot merissa mayor conference 2011,3
266,yet walk conference room doesnt look like ad youd think nothing else,0
267,ehphone available canada aphone canada,1
268,lounge free daily free coffee art recharge refresh åç austin details,2
269,queueing ipads instead partying honestly geeks get grip 2 takes video,1
270,mayer making clear going straight foursquare amp gowalla hotpot,1
271,mass googlezation ranking indexing educational assets vs lost sea uncatalogued materials present futureofed gsdm,1
272,updated npr music app song info songs 247 amp live video streaming time,2
273,disgusted iphones battery life already 11 330 pm blackberry going strong,0
274,average maps sees 40 users come mobile devices becoming connected donline dk,1
275,packed house googlebing qampa search rankings oh quotim hope catfightquot qagb,2
276,good morning everybody 2 takes video via mashable,2
277,great meet meetup post medical apps sxswh hcsm,1
278,phones around blackberry android distant third,1
279,going checkin friends youûªre austin locationbased apps,1
280,gsdm party hook,2
281,social network circles coming today,1
282,available today mobile apps android blackberry windowsmobile w facebook info,1
283,idea time closes tonight,1
284,atomic tom rocked cnn grill party theyre brooklyn also food drinks fantastic sxswi,1
285,got custome 4 case artwork favorite blackbook piece,2
286,traveling 1 3102011,1
287,would give stock like slim,2
288,geeky love opening temporary downtown austin 2 launch,2
289,winning picture android,2
290,ooooo rumored opening temporary,2
291,walking popup like walking future type computer,1
292,host developer day,1
293,need best android dev html5js issue need solving quickly handsome reward love grabs,1
294,friendly reminder attendees talk text film slap amp steal,1
295,1030 line popup austin opens 5 pm,1
296,view back line get league extraordinary hackers event,1
297,mt ûïmention agencies push directions never would gone says creative lab strategy director sxswû,2
298,opened popup release 2 quite scene geek power,2
299,send early app access ios android glad qa team help,1
300,white ipad2 64gig wifi available austin popup right wait,2
301,getting ready mom designing boomers,1
302,hey app wont download android app market heads,0
303,wow im spending minute line popup,1
304,attending party interested people wiiings,1
305,updated app song info select streams incl 247 amp live video streaming time,2
306,attn opening temporary downtown austin 2 launch,1
307,hey mark sleep bring home shiny would ya,2
308,talking social media monitoring platforms sm2 vs radian6 vs analytics smmnextgen right line w convo last night,1
309,really hoping would bring android version oh well maybe somedaya long time,0
310,looking app manages multiple accounts allowing select follow lists suggestions,1
311,awesome lost colleague left car fail,1
312,watch,1
313,design also checkout project magazine guardian eyewitness zinio interesting concept ref magazines,1
314,wow much hirer expected 40 maps use mobile,2
315,looking social signals search results qagb,1
316,hoping blackberry sprint popup opens get xtra battery yes still sprint blackberry,1
317,2 star gadget,2
318,kinda giddy theindustryparty amp gsdm finally fun comes us non swsurrogates notpouting,2
319,tons good music free sampler via,1
320,biytly email like voice email loveit startupbus,3
321,getting ready session designing interfaces lynn teo ballroom austin convention center,1
322,another super smart move temporary,2
323,trying fill void local information hotpot biz claim provide photos info,1
324,browserwars panel without like without parties,2
325,another great panel 5 pm hilton austins left brain search right brain search x,2
326,plans keep austin wired opening popup,1
327,temporary retail sweet ipad2,2
328,hope filtering intuitive via launch major social network called circles,1
329,suspense launch major social network called circles possibly today,2
330,going heres map free wifi hotspots warning 2009,1
331,someone going ask bing copying googles search results qagb seo,1
332,ubersocial app includes uberguide sponsored mashablû_ cont,1
333,cameron sinclair spearheads japan disaster relief via twitter amp socialmedia philanthropy,1
334,walking popup like walking future type computer,2
335,yayrt ubersocial app includes uberguide sponsored mashable,1
336,smartypants getting couple minutes thanks widfy,1
337,way love yall discuss applebreeds midst presxsw madness,2
338,set open popup shop core action theyre going sell ipad2 danger,1
339,ûïmention love quotapple comes cool technology ones ever heard dont go conferencesquotû,2
340,funny watching room full people hold air take photo like room full tablets staring,3
341,watching man u game radisson waiting next talk vs android,1
342,austinites check,1
343,need workspace book app virtualoffice,2
344,hmmm something seems amiss gsdm welivehere,1
345,ellen page appearance reduced call hearts broken super,1
346,opening popup austin phew beginning panic thanks steve,2
347,line insane,1
348,hey grill dont come create customizable cases tweet,2
349,said photos lepanele,1
350,gearing interactive trade show across,1
351,app ridiculous personal planner next 5 days,2
352,dear matt cutts may want provide larger room salon j hilton sayin sxswi,1
353,standing back rm plugged laptop wont connect ready everythings great whys one happy gsdm,1
354,panelist texas observer called lean back device newsapp imconfused,3
355,hand judging popup constant line ipad2 clearly breaking,2
356,looks like could get ipad2,2
357,nice killer shot got last night nokiaconnects concert,1
358,100 line popup everyone waiting ipads first guy arrived 630am 36 degrees badges everywhere,2
359,popup sell ipad2 line insane,1
360,never thought id sitting floor austin convention center thats best place plug charger,1
361,spasmatics rockin aclu party,2
362,quot40 maps usage mobilequot marissa mayer,1
363,buying ipad2 turn ur ipad1 wipes clean donates schools mrs jobs idea ipad2,2
364,life cant get sync sessions partial fine deciding wants,0
365,itunes free sampler featuring selection 23 years performers,1
366,heading austin guide free limited time,1
367,morning everyone 2 giveaway closes v shortly need sign enter go,1
368,cc ubersocial app includes uberguide,1
369,meet guy bought first 2 popupåêstore via,1
370,launch major social network called circles possibly today via,1
371,im eyeing grilled cheese stand session mom designing boomers 4hb cheatday,1
372,cameron sinclair spearheads japan disaster relief via twitter amp sxsw4jp archforhumanity,1
373,tv demo league extraordinary hackers cool stuff like web apps tv lxh,2
374,dj decks killing,1
375,saw u r going download groundlink app amp ride limo 10 austin see us booth 437,1
376,going listen former coworker speak quottripquot mars nasa time,1
377,whoa theres dude front using wave xplat,2
378,q social sites like delicious often better results bing qagb,0
379,great mental image people session taking photos w 2s air doingitwrong,2
380,epicurious flipboard cnn wired moma examples good design,2
381,whos gonna leave tomorrow 5pm go purchase ipad2 map,1
382,best brand marketing ge solar powered carousel rock n roll trailer park apples ipad2 popup shop,2
383,attending panel quotbetter living cloud computing quot presented googles jon wiley,1
384,blackberry apps pls let knowcheerswill,3
385,quotby law averages better buzzquot quotgoogle circles ______ quot,2
386,following buzz hee hee drip feeding information facebook rival circles,1
387,dancing 80s party aint truth need girl joint,1
388,6th congress dude creatively saving 2 wwwsocialmediabumtumblrcom,2
389,want use video talk today need able download know,1
390,shame confirmed 2 week popup austin tcov7jwekn v gave us credit,1
391,two austin stores week downtown presence changes popup,2
392,less 24 hours line ipad2,1
393,free itunes 22 tracks featured artists grab gone thanks,2
394,hootsuite mobile updates blackberry amp android whether youûªre getting friendly,1
395,googles route around traffic function saves users 2 years every day marissa mayer,2
396,making sure packed everything need chargers business cards pants missing anything,1
397,tried 2 days wo macbook pro experiment heart real keyboard,0
398,socialmuse android available genius lookalike music listening appcircus,2
399,watch ears ill austin convention center today w fam showing game,2
400,im headed hear talk integrated social network dynamics team synergy ive got ready go,2
401,reveal social network called circles facebook twitter via,1
402,dont know time blackberry camera hotel clock tv say different times austin texas time,1
403,close front ipad2 line popup,1
404,sudden realization session news publishers questions design amp share ideas via app sxswi,1
405,enjoying rooftop terrace speakeasy reassured extraordinary hacking meant soft couches bar,1
406,really tempted get 2,2
407,dgtltribe openbeta6 giveaway fantastic going squeeze,2
408,bjdproductions heads sets temporary austin tech,1
409,put first sticker mac signing beta,1
410,300 people line downtown austin ipad2,1
411,time next week party,2
412,hotpot yelp killer impressive integration personalized recommendations really fast,2
413,12 billion miles year driven navigation mobile,1
414,40 maps usage mobile 150 million mobile users via,2
415,circles indeed going likely release io may,1
416,walkin street navigating via im tweeting random guy yelping welcome usguys,1
417,hear quotdesigning interfaces navigation schemasquot uxdes,1
418,hey life gives food poisoning pitch food poisoning app passing venture capitalist,1
419,guy gets tattooed company logo win,2
420,barry diller newsbeast merger might work barry diller news barry_diller iac newsweek cyber,1
421,id love said quotwhy want knowquot,1
422,pop stores r popping everywhere confirmed 2 week popup austin 4 noû_ cont,1
423,egyptian content flood quotgoogle put two servers web came back upquot sxswsa,1
424,dang ive touched 2 want sigh,2
425,unloading ipads ipad2,1
426,sets 5000 sqft sell ipad2,1
427,gps messed thinks im yonkers almost good,0
428,hotpot rate restaurants get personalized recos eat um think foursquare yelp etc covered already,2
429,preorder humorous bees lp catch month amp,1
430,gamesalad topic dutch podcast gssxsw sxsw2011 sxswnl,1
431,lunch cnngrill view html5 dev trenches android painful ios sleek,0
432,quotpopupquot nuts still packed 1130,1
433,begins story cool app also launching 2 temp stay tuned love,2
434,rumor opening temporary downtown austin ipad2 launch,2
435,launch major social network called circles possibly today sxswû,1
436,qrafter better paid free qr code apps scan vcards also download qrcode,2
437,domo ios android got released domo tonchidot boom,1
438,ok come building custom maps maps night organize party itineraries productive,1
439,design baby boomers dont john mcree design yourmom,3
440,san listen others saying happens ihearnetwork android yoroshiku onegai itashimasu,1
441,g love popup one question atampt bring trucks signal please say yes,2
442,crowd swarms ipad2 launch via sxsw2011,2
443,rumor set temporary ipad2 release near convention center downtown austin ipad2,1
444,technology saves set open popup despite two austin texas locations tech,2
445,true best hungry tip mekong river great vietnamese 6th st till 11pm via,1
446,texas observer tomlinson says would double revenue per issue subscriptions newsapps,2
447,used ol help brits find hotel austin gooddeed winning,2
448,csr reporting janecek microsoft gives charity gives nothing everyone room drives decision,0
449,pretty excited stop working atampt,0
450,folks pretty koolaiddrinking bunch think android tablets hardcore linux nerds let know,1
451,12 startups elevator pitches 12 minutes ogilvy sydney podcast ep5 ausxsw,1
452,post sxswi 2011 day 1 bpm surprised run 2 bpm folks amp popup,1
453,cant wait 6th congress get ur 2 opening popup austin tcrncheb5fjs,1
454,like seeing applying technology art project,1
455,going need lift airport register free shuttle,1
456,googles disavowal planned launch,1
457,wandered doodles presentation see presenting fun,2
458,v android things going tomorrow,1
459,testing ncaa mmod app session flawless livesteam bracket show atampt ad atrix makes sense mute though,2
460,n3 slap face codes valid 120035959p 031111 infektd necro,1
461,discovr available thanks,2
462,sitting behind dude barcode tattoo neck controlling urge scan,1
463,line front quotsecretquot congress ave long line sbux longer,1
464,mullenweg admits app wordpress good yet true respect honesty awareness,0
465,envy couldnt greater waaaaaa,2
466,contactless payment system trialled visa amp anz bank due boycotting existing nfc,1
467,reminded abt value zeitgeist,1
468,launch major social network called circlesrwwtof6bcet,1
469,marissa mayer connect digital amp physical worlds mobile,1
470,need get 2 right away opening popup west 6th amp congress,1
471,switching office next session flipboard gamechanger passing fad like one,1
472,snag 2 yesterday thoughts far,1
473,hoping quotphotoboothquot makes gsdm industry party monday night,1
474,ûò rackspace startup program cloud 20 app launched rackspace top_news,1
475,looking forward hearing googles present today,2
476,circles whoooooo,2
477,launch social network called circles possibly today,1
478,anyone want sell old,1
479,austin texas 2011 thats,1
480,crowd swarms 2 launch via,1
481,reactions circles news far range quotnot againquot quotplease rescue facebookquot,1
482,tech interaction events apps right,1
483,ûïmention get ready word quotcirclesquot trending sxswi û circles social,2
484,friends dont forget download sxswgo iphoneipad app,1
485,totally makeshift downtown,1
486,opening temporary downtown austin 2 launch,1
487,hoax quotwere launching products plenty else,1
488,check,1
489,launch major social network called circles cc,2
490,circles boolean,1
491,hp popping setting temp sites austin atx austinbusiness,1
492,saw periscope move w 2nd camera gowalla talk snoring guy busted amp documented get cpap homie,1
493,developers learn mobile accessibility android 30 include browser access a11y2go,1
494,mayer comes sans intro still gets cheers techrockstar launches googles priority location fast fun amp future,2
495,ive run 270 battery 8 hours,1
496,spontaniety life replaced technology battery dies go home great busy,1
497,interrupt regularly scheduled geek programming big news circles,1
498,cameron sinclair spearheads japan disaster relief via twitter amp,1
499,true dude theres earthquakes tsunamis 2 get,1
500,inevitable huge lines ipads austin,1
501,line pop 30 deep line crossroads closer 300 big demand 4 liz phair w freecreditscore band sorry ipad2,1
502,open popup shop 6th congress ipad2 launch day,1
503,oh yeah saysshewithoutanipad flipboards next platform ceo says via,2
504,live mobile accessibility session room 8a surprise guest charles chen answering questions android accesssxsw,1
505,matt cutts amp duane forrester bing cant stop talking original quality content raidsxsw,1
506,morning everyone 2 giveaway closes v shortly need sign enter go,1
507,jealous love stores,2
508,launch major social network called circles possibly today privacy,1
509,waiting 2 day 1,1
510,tomorrow charles chen speaking android chromeos access booth exhibit hall 3 1pm,1
511,experiment spending last day without overtweeting,1
512,quotpops upquot event via,1
513,isnt news industry spending rampd wait innovate publishers bc print subsidizing efforts newsapps,1
514,talk along lines talk 360idev basically different content,1
515,launch major social network called circles possibly today,1
516,thanks giving top cover banged juicepack case products rock tradeshow,2
517,forgot android knife gun fight,2
518,soundtrckr featured musthave,1
519,pop austin brilliant long lines even 930 night,2
520,exclusive 2 review still better rest bnet biz ipad2,2
521,grouptexting war heats fast society launches android app updates app,1
522,hey austin know little android love music amp wanna make 20hour please let know,1
523,googledoodle doodles simple surface complex intricate underneath,2
524,two thumbs popplet nice mind mapping app great taking notes,2
525,rumor longer open pop congress ipad2 launch geeksrejoice,1
526,weather changed today get exclusive weather updates kxan austins jim spencer,1
527,saw 2 close first time shiny,2
528,great legal panel internet privacy security free speech issues w facebook aclu attys,1
529,party dont think checking badges say list free food booze frood cc,2
530,tweet register exclusive passes events parties 2 quotgive liberty andor free sxswpass please rtquot,1
531,continues innovate dont think fathom future like,2
532,line waiting open open days ipad2 sales null,1
533,setting shop year whole geekdom take collective shy relief,1
534,2 also cartoonishly large digital camera cstejas,3
535,nah im lying bought shit,1
536,wow golds gym underneath kind nutshell right,2
537,hey ive got another gem gt free,1
538,dont understand people paid travelled way would wait hours get ipad2 esp already,1
539,2 thin could use cut lines cocaine facetime mel gibson winning ipad2,2
540,getting hip android apps preparation hangover3 also known apps rock socks,2
541,get film red carpet coverage cw austin star mandy dugan groupedin get app,1
542,hey tweeps web industry party calendar u put ur ical amp keep track whats goin,2
543,best tsotchke farûómy almost power powermat gave free fully charged battery,1
544,vp consumer products marissa mayer says location everything,1
545,digital innovators rock stars like awesome talk insight future musicconnex,1
546,hotpot marissameyer next clevelandsteamer,1
547,people think rumored quotsocial networkingquot program called circles late game,1
548,ûïmention video interview amp quotgoogle dealsquot,1
549,count 48 pass charging station fools,1
550,circles lame lt3,0
551,check googletv apps connected tv experience connectedtv fascinating,2
552,best thing saw tonight security guards protecting 2 awesome,1
553,yes hey ive got another gem gt free,1
554,launch major social network called circles possibly today,1
555,hotpot instant rating amp review via places social sharing etc yelp killer,1
556,yai ubersocial app includes uberguide sponsored cont,2
557,thanks android app checking,2
558,getting ready 2 vs android panel come check 230,1
559,tried square credit card reader android amazingly simple impressed,2
560,going announcement today would love realtime reaction circles,1
561,ea games zynga facebook microsoft intuit went gaga go game,1
562,offered promo ninjafinder users fans sucks,2
563,eightbit hits street running html5 power got lot fun nes thestreet,1
564,agencies push directions never would gone otherwise says creative lab strategy director,1
565,friday ordered midway toured shaping great day almost forgot going toocoolforsxswanyway,2
566,austin hookers please accept products coochie,1
567,microsoft launch ie9 go maybe get ms install p,1
568,location pixieengine says future location location location cnn,0
569,2wks 6th austin street opened,1
570,hey austin know little android love music amp wanna make 20hour sure,1
571,unimitated fingerprint security scan itunes ipad2 1990style,2
572,watching guy simultaneously use laptop force strong one mmm,2
573,spotted dennis crowley aka co founder 4sq talking vp location heavyweights,1
574,2 purchased 90 sunny tan 4square far good,2
575,launch major social network called circles possibly today via screenfuture,1
576,nick time get eventseekr app,2
577,android party kinda embarrassed,0
578,great festival app featured app works maps plan schedule free,2
579,definitely yobongo real time chat going killer,1
580,attended beevil hear criticism ways us improve even im duty sounds like yr panel rocked,1
581,well hello heres free sampler celebrate festival year including barton hollow,1
582,launch major social network called circles possibly today lb via,1
